abide;abided,abode;abided
stink;stunk,stank;stunk
stride;strode;stridden
strike;struck;stricken
strike;struck;struck,stricken
string;strung;strung
strip;stripped,stript;stripped,stript
strive;strove,strived;striven,strived
sunburn;sunburned,sunburnt;sunburned,sunburnt
swear;swore;sworn
sweat;sweat,sweated;sweat,sweated
sweep;swept;swept
swell;swelled;swollen,swelled
swim;swam;swum
swing;swung;swung
take;took;taken
teach;taught;taught
tear;tore;torn
tell;told;told
think;thought;thought
thrive;thrived,throve;thrived,thriven
throw;threw;thrown
thrust;thrust;thrust
tread;trod;trodden,trod
undergo;underwent;undergone
understand;understood;understood
undertake;undertook;undertaken
undo;undid;undone
unlearn;unlearned,unlearnt;unlearned,unlearnt
uphold;upheld;upheld
upset;upset;upset
vex;vexed,vext;vexed,vext
wake;woke,waked;woken,waked
wear;wore;worn
weave;wove,weaved;woven,weaved
wed;wed,wedded;wed,wedded
weep;wept;wept
wet;wet,wetted;wet,wetted
win;won;won
wind;wound;wound
withdraw;withdrew;withdrawn
withstand;withstood;withstood
wring;wrung;wrung
write;wrote;written
